Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Mercedes-Benz,Luxury Sedan,2019,5,2086,2893,15820,32000,740,69834,48000,1595,1490,2018,Auto,35914,42280,115,1,146800
Toyota,Mid-Sized Sedan,2015,10,3383,1599,10480,82877,742,38291,56001,1598,1205,2015,Auto,19589,19589,90,2,55800
Mazda,Mid-Sized Sedan,2009,9,5612,1196,7520,163000,890,9686,14743,1598,1275,2009,Auto,20080,20080,77,5,24700
Opel,Suv,2018,3,2512,2468,8250,20000,508,42678,38830,1199,1203,2018,Auto,21304,21826,81,2,66800
Audi,Suv,2015,10,3379,1603,15650,37000,624,50023,60000,1395,1480,2015,Auto,29898,33858,110,2,85800
Honda,Suv,2016,1,3313,1668,10320,62000,682,32453,56989,1496,1190,2015,Auto,19068,9068,96,1,51800
Volkswagen,Hatchback,2016,11,2995,1985,9860,66000,508,34841,52668,1197,1229,2016,Auto,18188,8188,81,1,57800
Ford,Hatchback,2016,4,3211,1768,8340,63000,742,32706,46009,1596,1408,2015,Auto,14795,14795,92,3,47888
Ford,Hatchback,2015,12,3318,1663,7190,26000,242,27081,37301,1596,1408,2015,Auto,14350,14350,92,1,40000
Honda,Hatchback,2015,11,3352,1629,9740,107545,684,32390,56001,1498,1046,2015,Auto,15479,10479,96,2,48800
Hyundai,Mid-Sized Sedan,2018,1,2569,2410,8750,78000,738,34122,38200,1591,1345,2017,Auto,11796,11796,93,1,63800
Bmw,Suv,2016,6,3164,1815,14250,68850,684,44178,49700,1499,1430,2016,Auto,29368,28116,100,1,85100
Bmw,Sports Car,2015,4,3562,1418,33830,40000,2362,117725,72100,2979,1635,2014,Auto,92240,138032,317,3,200888
Toyota,Mid-Sized Sedan,2016,6,3150,1833,10030,53217,742,39579,53694,1598,1205,2016,Auto,16800,16800,90,1,58800
Nissan,Sports Car,2011,3,5059,3573,25800,62000,4000,46760,47701,3799,1740,2008,Auto,28509,28509,353,2,252888
Hyundai,Mid-Sized Sedan,2016,3,3249,1730,9500,55128,738,34875,51000,1591,1292,2015,Auto,15245,15245,97,2,52800
Bmw,Luxury Sedan,2018,2,2527,2451,13990,24000,684,55696,39000,1499,1425,2017,Auto,33755,39257,100,1,113800
Mercedes-Benz,Luxury Sedan,2015,5,3544,1436,16970,49150,1202,64695,77600,1991,1680,2014,Auto,46713,52399,155,2,93200
Porsche,Sports Car,2020,1,1836,3143,37680,16000,2380,157616,37109,2995,1815,2019,Auto,108593,167468,243,1,408800
Bmw,Luxury Sedan,2007,1,6580,2052,7360,110000,1812,29677,52660,1995,1395,2006,Auto,42106,46317,110,2,41500
Bmw,Suv,2010,9,5237,3396,9330,95000,1329,32542,34935,1995,1455,2010,Auto,28183,28183,110,5,86888
Bmw,Luxury Sedan,2012,5,4628,352,22080,105000,1210,29579,85216,1997,1610,2012,Auto,42536,42536,135,3,42800
Mercedes-Benz,Luxury Sedan,2017,11,2630,2350,18630,66500,1202,84804,57414,1991,1605,2016,Auto,50945,63701,135,2,152000
Porsche,Sports Car,2008,1,6221,2335,16990,120000,4189,32316,50451,3387,1395,2007,Auto,59163,65080,217,4,108800
Nissan,Mid-Sized Sedan,2009,6,5696,1085,7630,113000,821,8328,13943,1498,1175,2009,Auto,19247,19247,80,4,22800
Toyota,Mpv,2009,10,5595,3034,8390,132000,1966,31579,37941,2362,1770,2008,Auto,35805,35805,125,3,69800
Kia,Mid-Sized Sedan,2018,2,2532,2446,9110,45000,738,39214,41400,1591,1295,2017,Auto,15203,15203,95,2,68800
Honda,Mid-Sized Sedan,2019,9,1972,3010,8460,18700,242,27389,14917,1597,1237,2019,Auto,20072,20101,92,1,79888
Kia,Mid-Sized Sedan,2019,5,2085,2894,9030,35000,738,32612,23568,1591,1287,2018,Auto,18515,18515,93,1,81000
Peugeot,Stationwagon,2018,11,2253,2727,10130,55348,508,35197,25000,1199,1190,2018,Auto,21414,21980,96,1,86800
Mercedes-Benz,Luxury Sedan,2019,4,2121,2858,15890,22000,740,56970,32909,1595,1490,2018,Auto,35914,42280,115,1,145800
Nissan,Suv,2016,11,3002,1978,10050,62288,1210,43520,53001,1997,1379,2016,Auto,19653,19653,106,1,64400
Toyota,Mpv,2009,3,5798,1009,8850,112338,1264,9164,16509,1794,1310,2009,Auto,18662,18662,97,2,24555
Audi,Suv,2018,9,2314,2667,11920,30000,392,39363,28000,999,1315,2018,Auto,23688,25164,85,2,99800
Jeep,Suv,2007,9,6349,2285,11770,130000,5043,31565,50355,3778,2125,2007,Auto,34111,37523,146,4,73800
Hyundai,Mid-Sized Sedan,2009,2,5830,2800,6230,128264,959,19785,25727,1591,1264,2009,Auto,10658,10658,89,1,47900
Honda,Mid-Sized Sedan,2017,1,2939,2040,12310,68000,684,50746,56206,1498,1324,2016,Auto,27624,25674,127,1,81800
Mercedes-Benz,Luxury Sedan,2016,10,3017,1964,17220,80000,740,59830,57903,1595,1425,2016,Auto,36548,38168,115,2,111888
Kia,Sports Car,2010,7,5307,1473,8220,152000,812,13547,16438,1591,1232,2010,Auto,15484,15484,92,4,33888
Mercedes-Benz,Luxury Sedan,2018,11,2256,2724,30520,35000,2382,126349,31301,2996,1940,2018,Auto,91812,137262,200,1,296800
Kia,Mid-Sized Sedan,2018,1,2567,2412,8460,70000,738,34002,38200,1591,1295,2017,Auto,11608,11608,95,1,61800
Bmw,Suv,2019,10,1918,3063,20420,6460,1210,74692,41805,1998,1660,2019,Auto,43394,52752,135,1,198000
Honda,Suv,2018,12,2224,2756,9790,24500,682,29372,25501,1496,1190,2018,Auto,22459,13443,96,1,80800
Volkswagen,Suv,2015,12,3319,1662,15180,11300,1194,53791,55001,1984,1689,2015,Auto,34986,40981,155,1,89800
Honda,Stationwagon,2020,6,1678,3304,8520,16000,682,36236,31210,1496,1130,2019,Auto,20445,10623,95,1,82500
Toyota,Mid-Sized Sedan,2008,5,6091,2540,6420,170000,965,26640,38192,1598,1195,2008,Auto,16777,16777,80,2,44800
Audi,Luxury Sedan,2019,2,2162,2816,16170,37791,1194,61451,36667,1984,1535,2018,Auto,38186,45461,140,1,147800
Maserati,Sports Car,2015,4,3568,1412,39500,16000,5030,166137,71921,4691,1880,2014,Auto,134057,213303,338,2,260000
Bmw,Luxury Sedan,2011,6,4968,3609,9770,117342,2362,46862,47316,2979,1700,2010,Auto,63320,63320,225,2,96800
Audi,Luxury Sedan,2016,3,3229,1751,14150,87362,624,41194,46502,1395,1450,2016,Auto,32076,26907,110,2,81500
Mercedes-Benz,Luxury Sedan,2016,5,3165,1814,27480,122000,2382,116909,46502,2996,1940,2016,Auto,89948,133907,200,1,203888
Mazda,Hatchback,2020,9,1594,3386,7830,5000,682,48730,37766,1496,1067,2019,Auto,18205,18205,85,1,81800
Mercedes-Benz,Luxury Sedan,2013,4,4312,303,17280,49400,974,49900,73900,1796,1650,2012,Auto,52216,65989,150,2,64800
Audi,Luxury Sedan,2017,9,2696,2285,16540,84000,1194,62504,49000,1984,1535,2017,Auto,39560,42384,140,2,124888
Mercedes-Benz,Luxury Sedan,2018,5,2438,2541,15270,65000,740,59595,37605,1595,1425,2018,Auto,37480,44472,115,1,128800
Mitsubishi,Mid-Sized Sedan,2017,5,2802,2177,8880,73000,738,40948,51600,1590,1284,2016,Auto,13468,13468,86,2,59800
Bmw,Luxury Sedan,2018,5,2451,2528,26230,39900,2384,128459,38501,2998,1770,2017,Auto,90911,135640,240,1,249900
Nissan,Hatchback,2016,4,3197,1782,8640,120600,508,24552,43000,1198,1044,2016,Auto,13026,5000,58,2,44800
Honda,Hatchback,2020,10,1570,3410,8210,4432,578,38829,36534,1317,1030,2019,Auto,16209,6209,73,1,79888
Mitsubishi,Suv,2018,6,2421,2562,11280,61292,1210,41033,37989,1998,1480,2018,Auto,19130,19130,110,1,88800
Mini,Sports Car,2009,5,5724,2850,8280,174000,890,19965,25525,1598,1205,2009,Auto,30413,30413,88,4,64777
Toyota,Mpv,2016,11,2991,1989,9930,57000,682,34135,50000,1496,1320,2016,Auto,19112,9112,80,2,58800
Hyundai,Mid-Sized Sedan,2009,6,5716,2879,5670,112000,886,20689,26175,1591,1264,2009,Manual,9306,9306,89,1,44800
Toyota,Luxury Sedan,2018,6,2406,2577,11040,40000,1792,49163,33900,2494,1475,2018,Auto,29723,33613,133,1,94800
Mercedes-Benz,Suv,2017,11,2634,2346,28380,72792,2382,116282,50001,2996,2180,2017,Auto,77844,112120,270,2,238800
